TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
6,82E+13;0.2567;-0.9043;91.664
6,82E+13;0.2639;-0.8804;100.395
6,82E+13;0.1896;-0.8768;96.898
6,82E+13;0.3142;-0.9990;100.862
6,82E+13;0.3190;-0.9235;95.341
6,82E+13;0.5322;-0.8804;99.150
6,82E+13;0.7130;-0.8672;95.964
6,82E+13;0.1166;-10.385;97.856
6,82E+13;0.3130;-0.8864;97.018
6,82E+13;0.4220;-0.9606;93.808
6,82E+13;0.3537;-10.014;108.049
6,82E+13;0.3310;-0.8289;93.544
6,82E+13;0.5513;-0.9475;101.952
6,82E+13;0.6076;-10.864;96.586
6,82E+13;0.4639;-11.427;99.485
6,82E+13;0.3621;-0.7187;96.706
6,82E+13;0.0112;-0.8888;99.257
6,82E+13;-0.1362;-0.7355;99.605
6,82E+13;0.5442;-10.816;93.748
6,82E+13;0.4340;-0.9882;105.438
6,82E+13;0.6424;-0.8109;92.382
6,82E+13;0.5645;-0.9175;102.707
6,82E+13;0.6567;-0.8984;98.155
6,82E+13;0.4172;-0.9810;98.730
6,82E+13;0.4723;-0.9714;98.850
6,82E+13;0.2279;-0.6947;93.520
6,82E+13;0.0639;-0.9451;102.084
6,82E+13;0.1441;-10.409;96.778
6,82E+13;0.5130;-0.8397;97.593
6,82E+13;0.1908;-0.9990;95.808
6,82E+13;0.1848;-0.9031;99.054
6,82E+13;0.1980;-0.8876;98.886
6,82E+13;0.3082;-0.8397;97.569
6,82E+13;0.2184;-0.9199;94.934
6,82E+13;0.4316;-0.7858;97.521
6,82E+13;0.1405;-10.816;104.264
6,82E+13;0.3597;-0.8253;92.119
6,82E+13;0.4040;-0.8672;99.497
6,82E+13;0.6124;-0.9163;100.611
6,82E+13;0.2124;-0.8924;96.443
6,82E+13;0.1405;-0.9367;98.239
6,82E+13;0.1824;-0.8373;98.323
6,82E+13;-0.0068;-0.9343;95.269
6,82E+13;0.3825;-0.9199;95.604
6,82E+13;0.0842;-10.361;102.419
6,82E+13;0.4986;-0.7283;91.580
6,82E+13;0.5561;-0.8217;99.054
6,82E+13;0.2627;-0.8157;98.299
6,82E+13;-0.0128;-0.8516;93.927
6,82E+13;0.2483;-0.7953;96.023
6,82E+13;0.0507;-0.9319;99.413
6,82E+13;-0.0727;-0.7163;91.640
6,82E+13;0.1094;-0.8085;91.676
6,82E+13;-0.3242;-0.8313;100.371
6,82E+13;-0.0080;-0.8337;89.867
6,82E+13;0.4184;-0.8504;100.299
